Rank,Time,Name,Code,Date of Birth,Place,City,Date,Gender,Event
651,01:00:28,Germán Silva,MEX,01/09/1968,2,Oslo,24/09/1994,Men,Half marathon
651,01:00:28,Juan Armando Quintanilla,MEX,19/04/1968,2,Tokyo,19/01/1997,Men,Half marathon
651,01:00:28,Khalid Khannouchi,MAR,22/12/1971,6,Lisboa,26/03/2000,Men,Half marathon
651,01:00:28,Charles Kamathi,KEN,18/05/1978,8,Lisboa,28/03/2004,Men,Half marathon
651,01:00:28,Benson Cherono,KEN,30/06/1984,2,Udine,26/09/2004,Men,Half marathon
651,01:00:28,Yared Asmeron,ERI,02/03/1979,1,Azpeitia,31/03/2007,Men,Half marathon
651,01:00:28,Tilahun Regessa,ETH,18/01/1990,4,New Delhi,09/11/2008,Men,Half marathon
651,01:00:28,Gilbert Masai,KEN,20/05/1981,5,Lisboa,21/03/2010,Men,Half marathon
651,01:00:28,Abel Kirui,KEN,06/04/1982,1,Barcelona,26/02/2012,Men,Half marathon
651,01:00:28,Geoffrey Ronoh,KEN,29/11/1982,8,Praha,28/03/2015,Men,Half marathon
651,01:00:28,Mohamed Ziani,MAR,01/01/1993,1,Marrakesh,29/01/2017,Men,Half marathon
651,01:00:28,Teshome Mekonen,ETH,15/06/1995,3,New York City,19/03/2017,Men,Half marathon
664,01:00:29,Róbert Stefko,SVK,28/05/1968,4,Kastrup-Malmö,12/06/2000,Men,Half marathon
664,01:00:29,Martin Hhaway Sulle,TAN,28/12/1982,2,Milano,03/04/2004,Men,Half marathon
664,01:00:29,Wilson Kiprotich Kebenei,KEN,20/07/1980,3,Milano,03/04/2004,Men,Half marathon
664,01:00:29,Francis Kibiwott,KEN,15/09/1978,1,Remich,25/09/2006,Men,Half marathon
664,01:00:29,Abdihakem Abdirahman,USA,01/01/1977,2,New York City,05/08/2007,Men,Half marathon
664,01:00:29,Martin Irungu Mathathi,KEN,25/12/1985,1,Nagoya,23/11/2010,Men,Half marathon
664,01:00:29,Mark Kiptoo,KEN,21/06/1976,2,Azkoitia,26/03/2011,Men,Half marathon
664,01:00:29,Titus Masai,KEN,10/09/1989,2,Nice,29/04/2012,Men,Half marathon
664,01:00:29,Kenneth Kipkemoi,KEN,08/02/1984,10,København,29/03/2014,Men,Half marathon
664,01:00:29,Feyera Gemeda,ETH,01/01/1982,4,Yangzhou,20/04/2014,Men,Half marathon
664,01:00:29,Hiskel Tewelde Ghebru,ERI,15/09/1986,6,Yangzhou,19/04/2015,Men,Half marathon
664,01:00:29,Hiskel Tewelde Ghebru,ERI,15/09/1986,6,Yangzhou,19/04/2016,Men,Half marathon
676,01:00:30,Joseph Kimani,KEN,21/09/1972,2,Tokyo,25/01/1998,Men,Half marathon
676,01:00:30,Eduardo do Nascimento,BRA,08/02/1972,5,Lisboa,15/03/1998,Men,Half marathon
676,01:00:30,Ken-Ichi Takahashi,JPN,16/01/1973,1,Tokyo,10/01/2000,Men,Half marathon
676,01:00:30,Gezahegne Abera,ETH,23/04/1978,5,Kastrup-Malmö,12/06/2000,Men,Half marathon
676,01:00:30,Evans Rutto,KEN,14/01/1984,3,Lisboa,01/04/2001,Men,Half marathon
676,01:00:30,Paul Tergat,KEN,17/06/1969,1,Newcastle-South Shields,16/09/2001,Men,Half marathon
676,01:00:30,Lawrence Kiprotich,KEN,20/08/1986,3,Milano,10/04/2005,Men,Half marathon
676,01:00:30,John Mwangangi,KEN,11/01/1990,2,Lisboa,20/03/2011,Men,Half marathon
676,01:00:30,Galen Rupp,USA,05/08/1986,3,New York City,20/03/2011,Men,Half marathon
676,01:00:30,Dino Sefer,ETH,28/05/1988,1,Nice,21/04/2013,Men,Half marathon
676,01:00:30,Joseph Macharia Ndirangu,KEN,09/09/1994,2,Yamaguchi,15/02/2015,Men,Half marathon
676,01:00:30,Cosmas Jairus Kipchoge,KEN,21/03/1986,3,Udine,20/09/2015,Men,Half marathon
676,01:00:30,Barselius Kipyego,KEN,23/07/1993,1,Ceské Budejovice,04/06/2016,Men,Half marathon
689,01:00:31,Julius Korir,KEN,21/04/1960,1,Remich-Grevenmacher,22/09/1991,Men,Half marathon
689,01:00:31,Paul Koech,KEN,25/06/1969,1,Ivry to Vitry-sur-Seine,14/04/1996,Men,Half marathon
689,01:00:31,Ibrahim Seïd,ETH,01/01/1965,4,Zürich-Uster,27/09/1998,Men,Half marathon
689,01:00:31,Philip Rugut,KEN,18/05/1977,3,Lisboa,21/03/1999,Men,Half marathon
689,01:00:31,Nicholas Kemboi,KEN,25/11/1983,4,Lisboa,16/03/2003,Men,Half marathon
689,01:00:31,Richard Yatich,KEN,12/02/1980,9,Lisboa,28/03/2004,Men,Half marathon
689,01:00:31,Raji Assefa,ETH,18/02/1986,12,Udine,14/10/2007,Men,Half marathon
689,01:00:31,Wilson Chebet,KEN,12/07/1985,6,Abu Dhabi,07/01/2010,Men,Half marathon
689,01:00:31,Jairus Chanchaima,KEN,12/05/1984,5,Ra's Al Khaymah,19/02/2010,Men,Half marathon
689,01:00:31,Julius Lomerinyang,KEN,15/07/1983,7,Rotterdam,14/03/2010,Men,Half marathon
689,01:00:31,Robert Kwambai,KEN,22/11/1985,2,Verbania,10/03/2013,Men,Half marathon
689,01:00:31,Zersenay Tadese,ERI,02/08/1982,1,Gifu,19/05/2013,Men,Half marathon
689,01:00:31,Hiskel Tewelde Ghebru,ERI,15/09/1986,3,Valencia,18/10/2015,Men,Half marathon
689,01:00:31,Zersenay Tadese,ERI,02/08/1982,2,Istanbul,24/04/2016,Men,Half marathon
703,01:00:32,Peter Ndirangu,KEN,24/05/1971,6,Lisboa,15/03/1998,Men,Half marathon
703,01:00:32,Enock Mitei,KEN,26/11/1980,4,Milano,03/04/2004,Men,Half marathon
703,01:00:32,Jacob Wanjuki,KEN,16/01/1986,2,Nagoya,23/11/2010,Men,Half marathon
703,01:00:32,Azmeraw Bekele,ETH,22/01/1986,1,Alicante,23/01/2011,Men,Half marathon
703,01:00:32,Philemon Limo,KEN,08/02/1985,5,New Delhi,27/11/2011,Men,Half marathon
703,01:00:32,Tesfaye Abera,ETH,10/09/1989,3,Nice,29/04/2012,Men,Half marathon
703,01:00:32,Lucas Rotich,KEN,16/04/1990,7,Lille,01/09/2012,Men,Half marathon
703,01:00:32,Jacob Kendagor,KEN,19/09/1984,2,Den Haag,09/03/2014,Men,Half marathon
703,01:00:32,John Loitang,KEN,18/03/1991,5,Yangzhou,20/04/2014,Men,Half marathon
703,01:00:32,Masato Kikuchi,JPN,18/09/1990,3,Yamaguchi,15/02/2015,Men,Half marathon
703,01:00:32,Nobert Kigen,KEN,24/10/1993,5,Lille,05/06/2015,Men,Half marathon
703,01:00:32,Jonathan Maiyo,KEN,05/05/1988,2,Olomouc,20/06/2015,Men,Half marathon
703,01:00:32,Vincent Toroitich,KEN,01/01/1990,2,Berlin,02/04/2017,Men,Half marathon
716,01:00:33,Joseph Keino,KEN,01/01/1963,2,Remich-Grevenmacher,22/09/1991,Men,Half marathon
716,01:00:33,Tesfaye Jifar,ETH,23/04/1976,4,Lisboa,24/03/2002,Men,Half marathon
716,01:00:33,Christopher Cheboiboch,KEN,03/03/1977,5,Lisboa,16/03/2003,Men,Half marathon
716,01:00:33,William Todoo,KEN,02/05/1980,3,Udine,24/09/2006,Men,Half marathon
716,01:00:33,Samuel Wanjiru,KEN,11/10/1986,1,Abu Dhabi,28/02/2008,Men,Half marathon
716,01:00:33,Denis Ndiso Musembi,KEN,31/12/1983,3,Den Haag,15/03/2008,Men,Half marathon
716,01:00:33,Samwel Kwaangw Shauri,TAN,30/12/1985,5,Lisboa,22/03/2009,Men,Half marathon
716,01:00:33,Jaouad Gharib,MAR,22/05/1972,6,Lisboa,21/03/2010,Men,Half marathon
716,01:00:33,Feyisa Lelisa,ETH,02/01/1990,5,New Delhi,21/11/2010,Men,Half marathon
716,01:00:33,Yusuf Biwott,KEN,11/12/1986,2,Nice,21/04/2013,Men,Half marathon
716,01:00:33,Alfers Lagat,KEN,08/07/1986,1,Venlo,22/03/2015,Men,Half marathon
716,01:00:33,Thomas Lokomwa,KEN,26/12/1987,1,Milano,29/03/2015,Men,Half marathon
716,01:00:33,Stephen Kibet Kosgei,KEN,11/09/1986,2,Den Haag,06/03/2016,Men,Half marathon
716,01:00:33,Alex Oloitiptip,KEN,20/12/1990,10,København,18/09/2016,Men,Half marathon
730,01:00:34,Steve Moneghetti,AUS,26/09/1962,1,Newcastle-South Shields,16/09/1990,Men,Half marathon
730,01:00:34,Carsten Eich,GER,01/09/1970,1,Berlin,04/04/1993,Men,Half marathon
730,01:00:34,Paul Koech,KEN,25/06/1969,2,Milano,17/04/1999,Men,Half marathon
730,01:00:34,Robert Kipchumba,KEN,24/02/1984,1,Lisboa,18/03/2007,Men,Half marathon
730,01:00:34,Silas Sang,KEN,21/08/1978,1,Sevilla,16/12/2007,Men,Half marathon
730,01:00:34,James Mwangi Murigi,KEN,15/07/1986,13,Rotterdam,14/09/2008,Men,Half marathon
730,01:00:34,Wilson Kiprop,KEN,14/04/1987,6,Berlin,05/04/2009,Men,Half marathon
730,01:00:34,Stephen Kibet Kosgei,KEN,11/09/1986,3,Nice,19/04/2009,Men,Half marathon
730,01:00:34,Gideon Kipketer,KEN,11/10/1992,9,Berlin,01/04/2012,Men,Half marathon
730,01:00:34,Gebretsadik Adhana,ETH,16/07/1992,4,Nice,29/04/2012,Men,Half marathon
730,01:00:34,Lelisa Desisa Benti,ETH,14/01/1990,1,Boston,13/10/2013,Men,Half marathon
730,01:00:34,Leul Gebrselassie,ETH,20/09/1993,7,Yangzhou,19/04/2015,Men,Half marathon
730,01:00:34,Leul Gebrselassie,ETH,20/09/1993,7,Yangzhou,19/04/2016,Men,Half marathon
743,01:00:35,António Pinto,POR,22/03/1966,7,Lisboa,26/03/2000,Men,Half marathon
743,01:00:35,Shadrack Kiplagat,KEN,12/09/1977,2,Paris,11/03/2007,Men,Half marathon
743,01:00:35,Mekubo Mogusu,KEN,25/12/1986,5,Ra's Al Khaymah,08/02/2008,Men,Half marathon
743,01:00:35,Peter Kamais,KEN,11/07/1976,7,Berlin,05/04/2009,Men,Half marathon
743,01:00:35,Tesfaye Girma,ETH,25/09/1982,4,New York City,20/03/2011,Men,Half marathon
743,01:00:35,Azmeraw Bekele,ETH,22/01/1986,2,Praha,02/04/2011,Men,Half marathon
743,01:00:35,Dino Sefer,ETH,28/05/1988,6,New Delhi,27/11/2011,Men,Half marathon
743,01:00:35,Henry Kiplagat,KEN,16/12/1982,2,Ceské Budejovice,09/06/2012,Men,Half marathon
743,01:00:35,Mule Wasihun,ETH,20/10/1993,3,Nice,21/04/2013,Men,Half marathon
743,01:00:35,Adugna Takele,ETH,26/02/1989,4,Nice,21/04/2013,Men,Half marathon
743,01:00:35,Stephen Kibet Kosgei,KEN,11/09/1986,2,Luanda,07/09/2014,Men,Half marathon
743,01:00:35,Abraham Cheroben,KEN,11/10/1992,3,Den Haag,06/03/2016,Men,Half marathon
743,01:00:35,Morris Munene,KEN,04/07/1995,2,Krems,18/09/2016,Men,Half marathon
756,01:00:36,Thomas Osano,KEN,06/04/1970,2,Remich-Grevenmacher,24/09/1995,Men,Half marathon
756,01:00:36,Getu Feleke,ETH,28/11/1986,4,Den Haag,14/03/2009,Men,Half marathon
756,01:00:36,John Nzau Mwangangi,KEN,11/01/1990,1,Remich-Wormeldange,27/09/2009,Men,Half marathon
756,01:00:36,Ghirmay Ghebreslassie,ERI,14/11/1995,1,Göteborg,17/05/2014,Men,Half marathon
756,01:00:36,Ezrah Sang,KEN,06/08/1994,2,Venlo,22/03/2015,Men,Half marathon
756,01:00:36,Bernard Bett,KEN,01/04/1993,9,Praha,02/04/2016,Men,Half marathon
762,01:00:37,Gert Thys,RSA,11/12/1971,5,Zürich-Uster,27/09/1998,Men,Half marathon
762,01:00:37,Sammy Korir,KEN,12/12/1971,4,Lisboa,21/03/1999,Men,Half marathon
762,01:00:37,Mekubo Mogusu,KEN,25/12/1986,1,Marugame,01/02/2009,Men,Half marathon
762,01:00:37,Nicholas Kiprono,UGA,11/07/1987,1,Ivry to Vitry-sur-Seine,26/04/2009,Men,Half marathon
762,01:00:37,Tilahun Regessa,ETH,18/01/1990,4,New Delhi,01/11/2009,Men,Half marathon
762,01:00:37,Asbel Kipsang,KEN,09/10/1993,2,Sarnen,06/09/2015,Men,Half marathon
762,01:00:37,Lelisa Desisa Benti,ETH,14/01/1990,1,Houston,17/01/2016,Men,Half marathon
762,01:00:37,Joseph Kiptum,KEN,25/09/1987,1,Azpeitia,01/04/2017,Men,Half marathon
762,01:00:37,Edwin Rotich,KEN,01/01/1988,3,Istanbul,30/04/2017,Men,Half marathon
771,01:00:38,Phaustin Baha Sulle,TAN,30/05/1982,1,Lille,04/09/1999,Men,Half marathon
771,01:00:38,William Kiplagat,KEN,21/06/1972,4,Lisboa,01/04/2001,Men,Half marathon
771,01:00:38,James Kipsang Kwambai,KEN,28/02/1983,1,Udine,28/09/2003,Men,Half marathon
771,01:00:38,Robert Kipkoech Cheruiyot,KEN,26/09/1978,5,Ra's Al Khaymah,09/02/2007,Men,Half marathon
771,01:00:38,John Kiprotich,KEN,30/03/1989,2,Ivry to Vitry-sur-Seine,26/04/2009,Men,Half marathon
771,01:00:38,Tesfaye Bekele,ETH,02/05/1971,1,Columbus,30/08/2009,Men,Half marathon
771,01:00:38,Stephen Kibiwott,KEN,04/03/1980,6,Ra's Al Khaymah,19/02/2010,Men,Half marathon
771,01:00:38,Moses Kigen,KEN,01/10/1983,2,New York City,21/03/2010,Men,Half marathon
771,01:00:38,Titus Masai,KEN,10/09/1989,6,New Delhi,21/11/2010,Men,Half marathon
771,01:00:38,Silas Sang,KEN,21/08/1978,3,Lisboa,20/03/2011,Men,Half marathon
771,01:00:38,Geoffrey Kamworor,KEN,28/11/1992,1,Berlin,03/04/2011,Men,Half marathon
771,01:00:38,Laban Korir,KEN,30/12/1985,5,Roma-Ostia Lido,26/02/2012,Men,Half marathon
771,01:00:38,Philemon Limo,KEN,08/02/1985,1,Ústí nad Labem,15/09/2013,Men,Half marathon
771,01:00:38,Daniel Wanjiru,KEN,25/05/1992,1,Krems,14/09/2014,Men,Half marathon
771,01:00:38,Bernard Kiprop Kipyego,KEN,16/07/1986,1,Porto,14/09/2014,Men,Half marathon
771,01:00:38,Morris Munene,KEN,04/07/1995,1,Paris,05/03/2017,Men,Half marathon
771,01:00:38,Josphat Tanui,KEN,02/04/1994,2,Praha,01/04/2017,Men,Half marathon
788,01:00:39,Moses Tanui,KEN,20/08/1965,1,Newcastle-South Shields,17/09/1995,Men,Half marathon
788,01:00:39,Daniel Njenga,KEN,05/07/1976,2,Tokyo,21/01/1996,Men,Half marathon
788,01:00:39,Simon Bor,KEN,13/02/1969,2,Remich-Grevenmacher,26/09/1999,Men,Half marathon
788,01:00:39,Paul Kosgei,KEN,22/04/1978,1,Bruxelles,05/05/2002,Men,Half marathon
788,01:00:39,John Yuda,TAN,06/09/1979,6,Ra's Al Khaymah,09/02/2007,Men,Half marathon
788,01:00:39,Robert Kipkoech Cheruiyot,KEN,26/09/1978,2,Lisboa,18/03/2007,Men,Half marathon
788,01:00:39,Moses Kigen,KEN,01/10/1983,5,Berlin,01/04/2007,Men,Half marathon
788,01:00:39,Michael Tesfay,ERI,23/09/1976,13,Udine,14/10/2007,Men,Half marathon
788,01:00:39,Ali Saadoun Al-Dawoodi,QAT,29/06/1984,14,Udine,14/10/2007,Men,Half marathon
788,01:00:39,Gideon Ngatuny,KEN,10/10/1986,1,Sapporo,05/07/2009,Men,Half marathon
788,01:00:39,Emmanuel Mutai,KEN,10/12/1984,2,Lisboa,04/10/2009,Men,Half marathon
788,01:00:39,Mohamed Trafeh,USA,05/01/1985,3,New York City,21/03/2010,Men,Half marathon
788,01:00:39,Pius Kirop,KEN,01/08/1990,4,Remich,26/09/2010,Men,Half marathon
788,01:00:39,Sahle Warga Betona,ETH,30/01/1984,4,Roma-Ostia Lido,03/03/2013,Men,Half marathon
788,01:00:39,Yacob Jarso,ETH,02/05/1988,1,Yangzhou,21/04/2013,Men,Half marathon
788,01:00:39,Vincent Kipruto,KEN,13/09/1987,1,Lille,01/09/2013,Men,Half marathon
788,01:00:39,Philemon Rono,KEN,02/08/1991,2,Lille,01/09/2013,Men,Half marathon
788,01:00:39,Guye Adola,ETH,20/10/1990,3,Luanda,07/09/2014,Men,Half marathon
788,01:00:39,Kennedy Kipyego,KEN,15/12/1991,2,Milano,29/03/2015,Men,Half marathon
788,01:00:39,Abrar Osman,ERI,01/01/1994,7,New Delhi,29/11/2015,Men,Half marathon
788,01:00:39,Mustapha El Aziz,MAR,01/01/1985,1,Marrakesh,31/01/2016,Men,Half marathon
809,01:00:40,Antonio Silio,ARG,05/09/1966,2,Newcastle-South Shields,20/09/1992,Men,Half marathon
809,01:00:40,Eduardo do Nascimento,BRA,08/02/1972,3,Tokyo,21/01/1996,Men,Half marathon
809,01:00:40,Hendrick Ramaala,RSA,02/02/1972,1,Ivry to Vitry-sur-Seine,11/04/1999,Men,Half marathon
809,01:00:40,Tendai Chimusasa,ZIM,28/01/1971,6,Kastrup-Malmö,12/06/2000,Men,Half marathon
809,01:00:40,Paul Kirui,KEN,02/05/1980,1,Berlin,04/04/2004,Men,Half marathon
809,01:00:40,Joseph Birech,KEN,01/04/1984,2,Alicante,23/01/2011,Men,Half marathon
809,01:00:40,Titus Masai,KEN,10/09/1989,5,Ra's Al Khaymah,18/02/2011,Men,Half marathon
809,01:00:40,Peter Kirui,KEN,01/02/1988,4,Milano,27/03/2011,Men,Half marathon
809,01:00:40,Titus Masai,KEN,10/09/1989,3,Praha,02/04/2011,Men,Half marathon
809,01:00:40,Dennis Koech,KEN,22/01/1984,1,Ra's Al Khaymah,17/02/2012,Men,Half marathon
809,01:00:40,Andualem Beley,ETH,04/05/1992,5,Nice,29/04/2012,Men,Half marathon
809,01:00:40,Abebe Degefa,ETH,20/05/1984,2,Ústí nad Labem,15/09/2013,Men,Half marathon
809,01:00:40,John Loitang,KEN,18/03/1991,2,Paris,02/03/2014,Men,Half marathon
809,01:00:40,Daniel Chebii,KEN,28/05/1985,5,Berlin,30/03/2014,Men,Half marathon
809,01:00:40,Stephen Mokoka,RSA,04/01/1985,4,Newcastle-South Shields,13/09/2015,Men,Half marathon
809,01:00:40,Birhanu Legesse,ETH,11/09/1994,1,Ra's Al Khaymah,12/02/2016,Men,Half marathon
809,01:00:40,Stanley Biwott,KEN,21/04/1986,2,Ra's Al Khaymah,12/02/2016,Men,Half marathon
809,01:00:40,Leonard Langat,KEN,08/07/1990,3,Istanbul,24/04/2016,Men,Half marathon
809,01:00:40,Paul Lonyangata,KEN,12/12/1992,2,Paris,05/03/2017,Men,Half marathon
828,01:00:41,Kenneth Cheruiyot,KEN,08/02/1974,2,Newcastle-South Shields,14/09/1997,Men,Half marathon
828,01:00:41,Philip Tarus,KEN,09/11/1974,7,Lisboa,15/03/1998,Men,Half marathon
828,01:00:41,Ezekiel Jafari Ngimba,TAN,17/08/1985,1,Verbania,07/03/2009,Men,Half marathon
828,01:00:41,Daniel Salel,KEN,12/11/1990,2,Boston,13/10/2013,Men,Half marathon
828,01:00:41,Stephen Sambu,KEN,07/07/1988,3,Boston,13/10/2013,Men,Half marathon
828,01:00:41,Geoffrey Kusuro,UGA,02/12/1989,11,København,29/03/2014,Men,Half marathon
828,01:00:41,Thomas Lokomwa,KEN,26/12/1987,1,Piacenza,03/05/2015,Men,Half marathon
828,01:00:41,Moses Kipsiro,UGA,09/02/1986,8,New Delhi,29/11/2015,Men,Half marathon
828,01:00:41,Nguse Tesfaldet,ERI,11/10/1986,3,Ra's Al Khaymah,12/02/2016,Men,Half marathon
828,01:00:41,Abraham Cheroben,KEN,11/10/1992,4,Ra's Al Khaymah,12/02/2016,Men,Half marathon
828,01:00:41,Bernard Kimani,KEN,09/10/1993,4,Den Haag,06/03/2016,Men,Half marathon
828,01:00:41,Geoffrey Yegon,KEN,28/08/1988,3,Praha,01/04/2017,Men,Half marathon
840,01:00:42,Arturo Barrios,MEX,12/12/1963,2,Tokyo,26/01/1992,Men,Half marathon
840,01:00:42,Andrew Masai,KEN,13/01/1960,2,Milano,03/04/1993,Men,Half marathon
840,01:00:42,Sammy Lelei,KEN,14/08/1964,2,Berlin,04/04/1993,Men,Half marathon
840,01:00:42,Paul Tergat,KEN,17/06/1969,3,Newcastle-South Shields,18/09/1994,Men,Half marathon
840,01:00:42,Sakae Osaki,JPN,18/08/1964,4,Tokyo,21/01/1996,Men,Half marathon
840,01:00:42,Toshiyuki Hayata,JPN,05/02/1968,5,Tokyo,21/01/1996,Men,Half marathon
840,01:00:42,Patrick Ivuti,KEN,30/06/1978,1,Milano,31/03/2001,Men,Half marathon
840,01:00:42,Jaouad Gharib,MAR,22/05/1972,2,Bruxelles,05/05/2002,Men,Half marathon
840,01:00:42,Solomon Bushendich,KEN,01/10/1984,2,Berlin,04/04/2004,Men,Half marathon
840,01:00:42,James Mwangi Murigi,KEN,15/07/1986,1,Virginia Beach,04/09/2005,Men,Half marathon
840,01:00:42,Wilfred Taragon,KEN,15/02/1985,6,Berlin,01/04/2007,Men,Half marathon
840,01:00:42,David Kisang,KEN,22/03/1983,3,Ivry to Vitry-sur-Seine,26/04/2009,Men,Half marathon
840,01:00:42,James Mwangi Murigi,KEN,15/07/1986,3,Philadelphia,18/09/2011,Men,Half marathon
840,01:00:42,Daniel Limo,KEN,12/10/1983,5,Roma-Ostia Lido,03/03/2013,Men,Half marathon
840,01:00:42,Nicholas Kipkemboi,KEN,07/05/1986,2,Yangzhou,21/04/2013,Men,Half marathon
840,01:00:42,Tadesse Abraham,SUI,08/12/1982,1,Barcelona,15/02/2015,Men,Half marathon
840,01:00:42,Felix Kandie,KEN,04/10/1987,9,Praha,28/03/2015,Men,Half marathon
840,01:00:42,Mule Wasihun,ETH,20/10/1993,8,Yangzhou,19/04/2015,Men,Half marathon
840,01:00:42,Mule Wasihun,ETH,20/10/1993,8,Yangzhou,19/04/2016,Men,Half marathon
840,01:00:42,Alex Oloitiptip,KEN,20/12/1990,3,Paris,05/03/2017,Men,Half marathon
860,01:00:43,Michael Musyoki,KEN,28/05/1956,1,Newcastle-South Shields,08/06/1986,Men,Half marathon
860,01:00:43,Shem Kororia,KEN,25/09/1972,2,Milano,31/03/1995,Men,Half marathon
860,01:00:43,Sammy Korir,KEN,12/12/1971,3,Newcastle-South Shields,14/09/1997,Men,Half marathon
860,01:00:43,Evans Rutto,KEN,14/01/1984,6,Bristol,07/10/2001,Men,Half marathon
860,01:00:43,Lukas Kibet,KEN,04/12/1983,5,Rotterdam,10/09/2006,Men,Half marathon
860,01:00:43,Raji Assefa,ETH,18/02/1986,3,Paris,11/03/2007,Men,Half marathon
860,01:00:43,Abdellah Falil,MAR,29/05/1976,4,Paris,11/03/2007,Men,Half marathon
860,01:00:43,Jaouad Gharib,MAR,22/05/1972,3,Lisboa,18/03/2007,Men,Half marathon
860,01:00:43,Dieudonné Disi,RWA,24/04/1978,1,New Delhi,28/10/2007,Men,Half marathon
860,01:00:43,Fabiano Joseph Naasi,TAN,24/12/1985,2,Abu Dhabi,28/02/2008,Men,Half marathon
860,01:00:43,Wilson Kiprotich Kebenei,KEN,20/07/1980,4,Den Haag,15/03/2008,Men,Half marathon
860,01:00:43,David Kipkorir,KEN,15/12/1974,11,Ra's Al Khaymah,20/02/2009,Men,Half marathon
860,01:00:43,Jacob Yator,KEN,08/05/1982,2,Verbania,07/03/2009,Men,Half marathon
860,01:00:43,Josphat Jepkopol Kamzee,KEN,02/11/1984,8,Berlin,05/04/2009,Men,Half marathon
860,01:00:43,Titus Masai,KEN,10/09/1989,5,New Delhi,01/11/2009,Men,Half marathon
860,01:00:43,Shumi Gerbaba,ETH,19/11/1982,3,Valencia,22/11/2009,Men,Half marathon
860,01:00:43,Robert Kipchumba,KEN,24/02/1984,4,Lisboa,20/03/2011,Men,Half marathon
860,01:00:43,Paul Lonyangata,KEN,12/12/1992,2,Philadelphia,16/09/2012,Men,Half marathon
860,01:00:43,Bernard Bett,KEN,01/04/1993,10,Praha,28/03/2015,Men,Half marathon
879,01:00:44,Thomas Osano,KEN,06/04/1970,1,Remich-Grevenmacher,29/09/1996,Men,Half marathon
879,01:00:44,David Ruto,KEN,01/01/1980,1,Gargnano,24/09/2000,Men,Half marathon
879,01:00:44,Dejene Berhanu,ETH,12/12/1980,2,Newcastle-South Shields,18/09/2005,Men,Half marathon
879,01:00:44,David Kiyeng,KEN,01/01/1983,3,Verbania,07/03/2009,Men,Half marathon
879,01:00:44,Shami Abdullah,ETH,16/07/1984,1,Olomouc,19/06/2011,Men,Half marathon
879,01:00:44,John Mwangangi,KEN,11/01/1990,2,Lisboa,25/03/2012,Men,Half marathon
879,01:00:44,Mike Kigen,KEN,15/01/1986,3,Paris,02/03/2014,Men,Half marathon
879,01:00:44,Richard Mengich,KEN,04/03/1989,1,Göteborg,23/05/2015,Men,Half marathon
887,01:00:45,Boay Akonay,TAN,01/03/1970,3,Newcastle-South Shields,20/09/1992,Men,Half marathon
887,01:00:45,Paul Tergat,KEN,17/06/1969,3,Milano,03/04/1993,Men,Half marathon
887,01:00:45,Eduardo do Nascimento,BRA,08/02/1972,1,Tokyo,22/01/1995,Men,Half marathon
887,01:00:45,Kenneth Cheruiyot,KEN,08/02/1974,2,Milano,12/04/1997,Men,Half marathon
887,01:00:45,Antonio Silio,ARG,05/09/1966,6,Zürich-Uster,27/09/1998,Men,Half marathon
887,01:00:45,Phaustin Baha Sulle,TAN,30/05/1982,2,Ivry to Vitry-sur-Seine,11/04/1999,Men,Half marathon
887,01:00:45,Christopher Cheboiboch,KEN,03/03/1977,5,Lisboa,01/04/2001,Men,Half marathon
887,01:00:45,Rodgers Rop,KEN,16/02/1976,5,Lisboa,24/03/2002,Men,Half marathon
887,01:00:45,James Kipsang Kwambai,KEN,28/02/1983,1,Roma-Ostia Lido,27/02/2005,Men,Half marathon
887,01:00:45,Deriba Merga Ejigu,ETH,26/10/1980,1,Paris,06/03/2006,Men,Half marathon
887,01:00:45,Marilson dos Santos,BRA,08/06/1977,4,Lisboa,18/03/2007,Men,Half marathon
887,01:00:45,Charles Kamathi,KEN,18/05/1978,2,Lisboa,16/03/2008,Men,Half marathon
887,01:00:45,Solomon Bushendich,KEN,01/10/1984,3,Lille,06/09/2008,Men,Half marathon
887,01:00:45,Tadesse Tola,ETH,31/10/1987,5,New Delhi,09/11/2008,Men,Half marathon
887,01:00:45,Emmanuel Mutai,KEN,10/12/1984,6,Lisboa,22/03/2009,Men,Half marathon
887,01:00:45,Allan Ndiwa,KEN,19/09/1984,4,Lille,04/09/2010,Men,Half marathon
887,01:00:45,Feyisa Lilesa,ETH,02/01/1990,3,New York City,18/03/2012,Men,Half marathon
887,01:00:45,Adugna Takele,ETH,26/02/1989,1,Ústí nad Labem,14/09/2014,Men,Half marathon
887,01:00:45,Getu Feleke,ETH,28/11/1986,2,Barcelona,15/02/2015,Men,Half marathon
887,01:00:45,Erick Leon Ndiema,KEN,01/01/1990,6,Roma-Ostia Lido,01/03/2015,Men,Half marathon
887,01:00:45,Guye Adola,ETH,20/10/1990,4,Lisboa,22/03/2015,Men,Half marathon
887,01:00:45,Erick Leon Ndiema,KEN,01/01/1990,4,Udine,20/09/2015,Men,Half marathon
887,01:00:45,Kenneth Kipkemoi,KEN,08/02/1984,9,New Delhi,29/11/2015,Men,Half marathon
887,01:00:45,Mosinet Geremew,ETH,02/12/1992,2,Houston,17/01/2016,Men,Half marathon
887,01:00:45,Edwin Kipyego,KEN,16/11/1990,5,Ra's Al Khaymah,12/02/2016,Men,Half marathon
